,CID,SID,Solubility_at_pH_7_4,target,Efficacy
3,135856003,26729454,0.1,1,72.9655
16,135845987,26660913,13.7,1,147.317
21,135829861,49679361,24.7,1,174.885
25,135829849,49673210,1.0,1,189.224
26,135829845,49670054,36.6,1,147.289
28,135825093,26658783,9.7,1,166.868
52,135759036,26666271,35.3,1,113.507
65,135735430,49823554,5.4,1,177.699
69,135716008,49675085,35.4,1,180.428
71,135706571,26671546,4.7,1,102.062
82,135693225,49727492,39.0,1,104.759
92,135688244,26659931,10.2,1,167.294
94,135684986,49679463,13.5,1,190.801
95,135684904,49649491,3.9,1,184.289
100,135683272,49669805,32.4,1,151.355
109,135679290,26724231,26.5,1,171.252
110,135679010,49678014,23.7,1,176.47
115,135676326,49671733,9.2,1,132.87
116,135676249,26670539,2.0,1,143.618
117,135676232,49680113,6.9,1,170.986
119,135676161,49676838,6.5,1,190.531
120,135676154,26724336,41.3,1,111.451
121,135676152,49680713,2.9,1,163.089
122,135676089,49676808,38.3,1,153.32
123,135676074,26670628,20.9,1,136.058
124,135676000,49675855,2.0,1,153.222
128,135675930,49672834,33.9,1,148.521
129,135675925,26724224,26.9,1,133.545
150,135651380,26725710,0.9,1,136.592
154,135651186,26670918,22.8,1,135.354
156,135651101,26661019,24.0,1,116.939
157,135650969,49667956,31.4,1,165.17
158,135650885,49646224,28.9,1,138.981
159,135650835,49647531,31.4,1,168.555
168,135650685,26667195,2.3,1,87.2536
172,135650621,26671416,3.2,1,135.022
178,135650515,49646124,1.8,1,219.41
179,135650497,26671414,1.1,1,144.798
189,135650114,26659495,0.9,1,130.581
214,135643262,49665389,2.3,1,96.5841
217,135642811,49667018,0.4,1,94.7358
225,135641513,26661703,0.1,1,85.3595
230,135637508,26666388,13.6,1,115.118
234,135635893,49667523,5.1,1,183.284
246,135632188,49646862,26.7,1,142.397
250,135630551,26670805,5.3,1,121.137
255,135630284,49646227,36.4,1,139.893
256,135630189,26665778,10.8,1,125.575
281,135615569,49669411,35.6,1,121.281
283,135615259,49725090,40.2,1,173.882
285,135614927,49678229,19.8,1,138.013
290,135614214,49674414,14.3,1,127.301
291,135613834,49647395,34.3,1,183.97
294,135613375,47200569,15.4,1,164.723
296,135608138,49672668,13.8,1,138.371
307,135594431,49725128,0.3,1,144.734
308,135592665,26671497,1.0,1,111.28
318,135584609,49669640,27.8,1,199.66
330,135580037,49668462,47.6,1,164.072
334,135577542,26670592,27.8,1,143.392
343,135576363,26659045,39.6,1,97.969
383,135558986,26665575,36.0,1,88.8014
391,135555389,26726253,3.8,1,137.676
392,135554597,26725805,41.1,1,102.786
398,135549881,49646108,1.9,1,181.114
399,135549825,49646966,7.0,1,118.446
404,135549771,26661279,1.2,1,130.139
419,135549440,26659811,12.8,1,149.47
421,135548689,49648500,0.6,1,137.522
422,135548673,26660233,0.4,1,148.788
438,135546030,49674139,28.3,1,145.263
455,135543164,26671653,20.9,1,133.684
465,135538542,26725971,3.0,1,128.671
468,135537585,47202847,0.2,1,95.4176
481,135536434,49643744,2.7,1,141.566
482,135535982,26662917,3.3,1,82.3091
484,135535946,26667134,12.0,1,98.6423
486,135533700,49824375,1.2,1,117.996
512,135521778,49715917,2.7,1,149.515
514,135521622,22409646,24.1,1,146.409
515,135521596,22406561,7.3,1,143.216
516,135521591,22406344,3.2,1,167.812
517,135521485,22401691,43.2,1,190.954
533,135520053,24837878,3.8,1,95.0171
534,135520040,24837160,3.2,1,192.621
536,135520036,24837076,6.0,1,178.143
539,135520027,24837012,33.3,1,162.643
543,135520006,24836652,0.2,1,141.627
545,135520001,24836614,0.4,1,137.553
549,135519991,24836408,0.3,1,107.787
552,135519988,24836365,5.2,1,109.798
554,135519980,24836155,48.9,1,151.832
555,135519978,24836141,2.3,1,122.549
556,135519977,24836107,4.3,1,129.93
557,135519976,24836087,32.1,1,151.749
560,135519963,24835664,45.5,1,132.49
561,135519959,24835313,39.8,1,88.2964
562,135519958,24835312,9.0,1,127.463
563,135519953,24835046,24.7,1,133.804
565,135519945,24834765,3.2,1,128.098
566,135519941,24834460,35.5,1,166.108
569,135519935,24834299,10.1,1,147.802
574,135519929,24834098,6.4,1,169.036
578,135519897,24833225,34.3,1,76.3544
581,135519892,24833118,8.9,1,155.081
582,135519884,24832490,32.7,1,108.897
588,135519857,24830178,25.1,1,117.716
600,135517573,49667120,24.8,1,146.773
602,135517191,17516207,9.8,1,166.942
620,135512407,14745573,1.6,1,162.423
621,135512260,24835443,34.1,1,116.418
629,135510268,24841408,35.8,1,115.483
630,135510264,24841360,53.9,1,187.137
641,135509000,49716502,5.6,1,127.529
644,135507980,26667133,52.6,1,113.043
656,135504452,26670316,10.8,1,123.792
659,135502848,26731378,30.6,1,143.305
665,135501362,49679199,44.0,1,99.4227
666,135501359,49645444,43.7,1,168.72
671,135498869,24835168,39.9,1,100.11
676,135498034,17507702,27.1,1,124.195
679,135498023,17507022,55.0,1,93.8987
693,135495483,49641056,14.0,1,146.21
699,135494098,24837833,46.0,1,83.6794
702,135493040,26662944,30.7,1,113.208
706,135492174,47201548,17.0,1,162.593
732,135488596,26670744,34.4,1,108.647
740,135485470,4256202,49.1,1,111.657
743,135485079,26659960,48.7,1,88.7942
747,135485046,47203784,0.6,1,210.015
748,135485045,47203949,0.6,1,85.2163
760,135481566,47201101,0.5,1,128.315
767,135480969,26731419,24.7,1,122.281
783,135474000,26671243,19.3,1,112.245
795,135473038,26731572,33.5,1,119.435
804,135472851,24817240,4.7,1,120.853
805,135472836,24816509,0.2,1,102.599
813,135472776,24814478,46.5,1,142.987
821,135472736,24811726,23.2,1,138.428
837,135472537,49667948,32.6,1,103.292
849,135470845,24812857,41.0,1,95.3954
850,135470822,49667547,2.4,1,146.158
851,135470813,26658843,6.3,1,139.608
852,135470802,49667189,35.9,1,144.461
854,135470757,26667289,0.2,1,126.534
861,135469873,26671520,9.0,1,122.518
864,135469806,26670785,9.6,1,145.647
867,135468839,24836932,40.8,1,114.019
893,135463924,26661051,16.7,1,134.504
911,135460614,24789724,2.7,1,123.605
917,135460593,24788238,49.9,1,125.696
920,135460567,24787219,14.8,1,137.92
929,135460457,24782281,22.9,1,157.925
937,135459530,49644500,42.8,1,138.018
944,135458866,49644317,8.0,1,165.516
949,135458748,49669694,50.8,1,189.822
971,135455198,24809919,2.3,1,83.8587
976,135455175,24807101,20.3,1,116.415
982,135455155,24805681,33.3,1,106.292
984,135455150,24804880,11.9,1,96.2562
997,135454486,49667192,1.8,1,113.29
1001,135454365,26726278,0.9,1,113.48
1007,135452793,49642654,46.7,1,165.566
1009,135452530,49646548,5.3,1,174.392
1013,135451679,26671262,2.8,1,115.735
1028,135449736,24781669,36.9,1,137.647
1050,135445597,26731364,37.3,1,111.981
1055,135445157,49667059,46.7,1,178.015
1056,135445044,24832043,36.6,1,119.823
1058,135444536,49645229,43.8,1,198.315
1061,135444387,24801866,24.4,1,122.657
1066,135444096,49642620,0.3,1,109.133
1070,135443251,26670169,33.7,1,104.035
1078,135442099,47195329,0.3,1,146.832
1079,135442098,47195530,0.8,1,155.703
1090,135441542,24835399,6.0,1,102.092
1095,135440841,26662782,43.0,1,134.241
1116,135439803,24824296,43.4,1,116.947
1123,135439769,24823567,26.3,1,102.703
1134,135439674,24821846,15.6,1,137.695
1154,135437343,26661604,0.5,1,104.948
1158,135436858,49669586,2.1,1,138.821
1160,135436083,24789067,0.6,1,150.228
1171,135433308,24796550,44.7,1,113.866
1181,135433193,24790962,27.2,1,120.676
1183,135433180,24790339,51.1,1,186.369
1185,135432810,26666540,19.0,1,97.9313
1230,135422517,24826962,10.9,1,117.739
1231,135422474,24836119,30.3,1,134.381
1235,135421727,49667476,1.4,1,147.339
1237,135421639,49644324,25.9,1,245.856
1238,135421582,49668011,3.1,1,91.6284
1247,135420902,26659007,22.5,1,145.084
1258,135420153,49679030,23.4,1,162.027
1269,135418989,26730119,0.8,1,82.7039
1282,135418649,26671584,1.6,1,127.436
1287,135417169,49680640,2.8,1,81.4067
1297,135414997,24809339,12.2,1,103.99
1315,135412971,26731646,21.2,1,135.664
1324,135412250,26667226,15.0,1,117.519
1326,135412205,47203428,4.9,1,188.941
1332,135412004,26660179,31.0,1,114.206
1347,135411632,26671161,0.4,1,153.2
1351,135411401,26662230,40.7,1,105.417
1364,135408458,24810118,44.5,1,130.371
1385,135403971,49665244,11.7,1,139.325
1400,135403208,49665578,34.2,1,142.627
1402,135403145,49665374,0.2,1,91.7777
1404,135403133,47203203,30.8,1,146.538
1410,135402405,26663226,43.4,1,95.1349
1417,135401277,22410790,8.1,1,152.93
1418,135401236,22410067,5.3,1,155.466
1420,135400682,26669782,39.0,1,126.404
1422,135400571,26662276,45.2,1,115.131
1438,135399109,24779653,31.5,1,156.771
1447,56642963,47204000,30.7,1,134.783
1449,56642960,47198105,39.3,1,157.005
1457,56642848,47204001,34.5,1,153.682
1475,54695987,49665169,49.8,1,127.125
1479,54694101,49671814,36.3,1,152.51
1531,54682937,56320922,70.2,1,176.607
1566,54677846,24840631,26.6,1,149.173
1575,54677260,49677900,0.3,1,142.568
1586,54675779,855768,47.0,1,177.145
1587,52998417,26665910,46.2,1,107.825
1648,25237592,49825957,14.1,1,114.443
1649,25237590,49825837,13.9,1,158.743
1655,25237459,49823531,2.9,1,104.495
1658,25237451,49827875,28.7,1,106.917
1660,25237445,49823524,18.2,1,163.808
1662,25237443,49827413,17.0,1,133.238
1663,25237442,49823598,6.8,1,211.53
1665,25237439,49823597,20.8,1,156.071
1666,25237437,49823596,13.6,1,168.662
1679,25237314,49823691,37.9,1,104.267
1791,25162018,57257891,39.1,1,154.488
1819,24982932,56324409,40.8,1,101.844
1827,24982615,56323710,9.2,1,210.161
1838,24981851,56321911,45.2,1,125.512
1854,24981072,56319944,46.0,1,124.78
1863,24980893,56319676,24.8,1,117.759
1874,24980576,56318899,8.6,1,289.972
1933,24847757,56463315,47.0,1,55.9649
1950,24819960,49828343,41.1,1,168.214
1990,24819511,49826986,0.3,1,150.383
1997,24819439,49826748,21.4,1,176.674
2012,24819125,49826014,32.3,1,130.511
2059,24818675,49824072,20.5,1,108.147
2119,24818409,49823097,3.3,1,123.692
2122,24818380,49822706,43.0,1,163.992
2128,24818355,49822444,17.9,1,112.369
2132,24818309,49822196,53.4,1,172.672
2137,24818274,49821911,9.1,1,180.106
2138,24818267,49821737,40.9,1,162.721
2164,24817907,49819532,36.0,1,82.6773
2170,24817805,49819235,48.5,1,116.345
2174,24817628,49818701,47.5,1,117.869
2203,24816730,49817059,22.4,1,103.369
2209,24816607,49816832,37.8,1,150.168
2220,24794219,49737500,26.8,1,198.524
2252,24793393,49733458,45.4,1,144.455
2258,24793022,49732196,47.1,1,169.474
2262,24792909,49731945,45.4,1,158.361
2268,24792744,49729859,43.3,1,157.101
2285,24792568,49729145,2.2,1,130.605
2304,24792477,49728282,37.5,1,120.417
2338,24792241,49724923,54.4,1,119.489
2343,24791841,49722171,46.9,1,143.5
2351,24791309,49720574,32.8,1,197.179
2389,24762095,49680192,45.2,1,149.164
2390,24762091,49680085,2.0,1,126.887
2396,24762052,49679595,52.6,1,141.258
2399,24762042,49679461,39.4,1,141.931
2401,24762029,49679322,24.8,1,161.063
2402,24762021,49679177,49.9,1,166.166
2416,24761894,49678330,2.3,1,158.836
2417,24761888,49678221,30.0,1,122.074
2418,24761884,49678139,14.2,1,129.982
2419,24761870,49677954,3.7,1,138.412
2420,24761868,49677950,6.7,1,157.188
2421,24761862,49677870,8.6,1,114.843
2423,24761854,49677749,30.8,1,120.212
2424,24761847,49677481,32.8,1,131.697
2425,24761843,49677444,47.1,1,112.273
2426,24761841,49677302,0.4,1,122.49
2427,24761837,49677250,4.2,1,146.501
2432,24761673,49674150,54.3,1,109.129
2443,24761574,49670434,0.4,1,152.5
2456,24761522,49669850,29.2,1,165.226
2460,24761516,49669812,44.7,1,186.549
2462,24761514,49669806,27.9,1,141.351
2471,24761453,49669306,35.5,1,138.713
2493,24761181,49667527,31.8,1,158.345
2502,24761146,49667041,56.4,1,125.262
2504,24761114,49665681,43.8,1,129.349
2506,24761099,49665524,17.8,1,168.388
2513,24761072,49665252,30.1,1,153.323
2515,24761065,49665199,38.4,1,118.451
2517,24748033,49649783,36.8,1,154.772
2518,24748032,49649782,28.3,1,155.865
2520,24748026,49649728,41.3,1,126.807
2524,24748012,49649572,27.1,1,152.676
2528,24747994,49649427,30.6,1,99.897
2536,24747704,49647714,2.3,1,128.89
2538,24747681,49647512,0.2,1,155.327
2541,24747672,49647416,1.1,1,143.906
2553,24747589,49646575,50.4,1,208.092
2554,24747587,49646574,24.9,1,168.706
2559,24747356,49645835,0.3,1,91.501
2560,24747355,49645834,0.8,1,90.9143
2562,24747131,49645282,43.7,1,139.42
