PUBCHEM_RESULT_TAG,SID,CID,PUBCHEM_EXT_DATASOURCE_SMILES,OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Solubility at pH 7.4_Qualifier_Mean,Solubility at pH 7.4_Mean,Test Concentration_1,Solubility at pH 7.4_Qualifier_1,Solubility at pH 7.4_1,Solubility at pH 7.4_Comment_1,Solubility of Astemizole at pH 7.4_Qualifier_1,Solubility of Astemizole at pH 7.4_1,Solubility of Sulfamethizole at pH 7.4_Qualifier_1,Solubility of Sulfamethizole at pH 7.4_1,Solubility of Imipramine HCl at pH 7.4_Qualifier_1,Solubility of Imipramine HCl at pH 7.4_1,Test Concentration_2,Solubility at pH 7.4_Qualifier_2,Solubility at pH 7.4_2,Solubility at pH 7.4_Comment_2,Solubility of Astemizole at pH 7.4_Qualifier_2,Solubility of Astemizole at pH 7.4_2,Solubility of Sulfamethizole at pH 7.4_Qualifier_2,Solubility of Sulfamethizole at pH 7.4_2,Solubility of Imipramine HCl at pH 7.4_Qualifier_2,Solubility of Imipramine HCl at pH 7.4_2
1,24826444,2374148,COC1=CC=C(C=C1)OCC2=NNC(=S)N2N,Active,40,,,=,10.85,200,<,0.1,Below LOQ,=,14.2,>,40.5,>,47.5,200,=,21.6,,=,27.7,>,40.5,>,47.5
2,49669186,5295761,CC1=CC(=C(C=C1)NC2=NC3=CC=CC=C3N4C2=NN=C4)Cl,Inactive,0,,,<,0.1,200,<,0.1,Below LOQ,=,12.3,>,40.5,>,47.5,,,,,,,,,,
3,49669768,22431387,CC1=CC(=CC=C1)CCNC2=NC3=C(C=C(C=C3)C)N4C2=NN=C4,Inactive,0,,,<,0.1,200,<,0.1,Below LOQ,=,12.3,>,40.5,>,47.5,,,,,,,,,,
4,8139962,14296,CC1=C(N=C(C(=N1)C)C)C,Inactive,0,,,<,0.1,200,<,0.1,Below LOQ,=,11.4,>,40.5,>,47.5,,,,,,,,,,
5,24803435,865684,CC1=CC2=NC(=C(C=C2C=C1)C#N)NC3=CC=CC=C3OC,Inactive,0,,,<,0.2,200,<,0.2,Below LOQ,=,11.4,>,40.5,>,47.5,,,,,,,,,,
6,26730174,2744502,CC1=C(N(OC1=O)C)C2=NC(=NO2)C3=CC=C(C=C3)C(C)(C)C,Inactive,0,,,<,0.2,200,<,0.2,Below LOQ,=,27.7,>,40.5,>,47.5,,,,,,,,,,
7,24805560,9563176,CC(C)C1=CC=C(C=C1)/C=N/NC(=O)CC(=O)NC2CCCCC2,Inactive,0,,,=,0.2,200,=,0.2,,=,11.4,>,40.5,>,47.5,,,,,,,,,,
8,26729569,2818439,COC(=O)CCN1CCC2=C1C=CC(=C2)N=NC3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,<,0.2,200,<,0.2,Below LOQ,=,27.7,>,40.5,>,47.5,,,,,,,,,,
9,49675798,9614794,C/C(=N\NC1=NN=CC2=CC=CC=C21)/C3=CC(=CC=C3)OC(F)F,Inactive,0,,,=,0.2,200,=,0.2,,=,12.3,>,40.5,>,47.5,,,,,,,,,,
10,49673160,9516,CN(C)C1=CC=C(C=C1)N=NC2=CC(=CC=C2)F,Inactive,0,,,<,0.2,200,<,0.2,Below LOQ,=,12.3,>,40.5,>,47.5,,,,,,,,,,
11,26728706,2821672,CC1=CC(=NC2=C(C(=NN12)C(C)(C)C)Cl)C(F)(F)F,Inactive,0,,,<,0.2,200,<,0.2,Below LOQ,=,12.3,>,40.5,>,47.5,,,,,,,,,,
12,49825719,5431096,CC1=NN(C(=C1Cl)C(=O)N/N=C(\C)/C2=CC=C(C=C2)NC(=O)C3CCC3)C,Inactive,0,,,<,0.2,200,<,0.2,Below LOQ,=,12.3,>,40.5,>,47.5,,,,,,,,,,
