feature,score
allAtoms_rel_XZ_3D,375708.66144107457
allAtoms_rel_YZ_3D,215273.68126382888
C_rel_XZ_3D,37886.69590091267
Volume_1_3D,35304.411493067295
Volume_1,21396.19279032117
S,17175.47939973921
C_rel_YZ_3D,8386.525202707038
TPSA,7409.409696086681
F,6195.930515832387
O,2471.0287785749024
Cl,2110.953189942865
RBC,2017.936555013849
Solubility_at_pH_7_4,1645.592200428162
N,1167.321547585332
MW,302.3345640455883
HAC,263.820250941521
HBAC,206.5410960252515
MMX6,170.4747213631054
H,152.2403467425821
C,129.13219517831044
HBDC,127.1023355235192
MMY6,122.95162083609164
MMX6_3D,103.2356492383199
MMX,73.11631736521458
Volume_2,59.403194492900994
S_relative,52.11204557908357
MMY,51.94829480285378
XZ_3D_volume,49.723470292334746
MMZ6_3D,43.831968804089584
MMX_3D,33.18069745165657
MMZ_3D,30.061791112506413
F_relative,27.30046859960852
YZ_3D_volume,25.65922167247669
MMY6_3D,16.76625580117392
XL,16.680315372135155
N_relative,12.633410315326117
XY_3D_volume,9.342410079038272
allAtoms_rel_XY_3D,9.125616273880137
C_rel_XY_3D,6.632210556767488
O_relative,6.3437566743503275
Cl_relative,4.659349215226522
H_relative,3.701551686149155
Br,1.0550447137770893
C_rel_2D,1.0472161756713172
MMY_3D,0.9380448171934204
C_relative,0.6428385556323888
allAtoms_rel_2D,0.6147768995504412
SZ6_3D,0.2897068641914513
SY6_3D,0.15330826684701027
SZ_3D,0.11623285604024028
SY_3D,0.063017767232488
SX6,0.04964729959527735
SX_3D,0.017063625683941628
SX6_3D,0.012200523289901975
Similarity,0.01023990988968295
SX,0.00468903536611989
SY6,0.0027139961822102163
Br_relative,0.001336526771253245
SY,0.0008489404376099143
CBUC,0.0
