feature,importance
Volume_1,0.04835907975866869
S_relative,0.0322349665185971
N_relative,0.02400053039846184
S,0.022488894782205105
C_relative,0.02145461778160842
XL,0.012093084930053677
C,0.012053305045415352
Solubility_at_pH_7_4,0.012026785122323136
RBC,0.010926208313995888
XY_3D_volume,0.009268713120731964
O_relative,0.00859245508188029
YZ_3D_volume,0.006895180003977974
F_relative,0.006881920042431866
N,0.006391301465225774
HBDC,0.006351521580587427
Volume_2,0.00604654246502685
F,0.005980242657296309
H_relative,0.005781343234104596
Cl_relative,0.005741563349466272
TPSA,0.005675263541735709
MMY6,0.0055691838493668435
XZ_3D_volume,0.005449844195451847
HBAC,0.005184644964529595
MMY,0.004919445733607364
Similarity,0.004892925810515147
MW,0.004627726579592917
C_rel_YZ_3D,0.0038719087714645497
O,0.003818868925280117
MMX6,0.003553669694357864
H,0.0030630511171517495
MMY6_3D,0.00302327123251338
MMX,0.0029967513094211863
SX6_3D,0.002903931578598429
MMX6_3D,0.0028906716170523207
Volume_1_3D,0.002811111847775627
allAtoms_rel_2D,0.0027713319631373023
allAtoms_rel_YZ_3D,0.0027448120400450637
SY,0.002625472386130068
SX_3D,0.002479612809122833
HAC,0.002373533116753945
allAtoms_rel_XZ_3D,0.002187893655108386
allAtoms_rel_XY_3D,0.0021613737320161698
C_rel_2D,0.002055294039647282
SY6,0.001896174501093939
C_rel_XY_3D,0.0018829145395478086
MMY_3D,0.0018298746933633758
SZ6_3D,0.0018033547702711815
SX6,0.001723795000994488
MMZ6_3D,0.0016972750779022717
SX,0.0016840151163561635
MMX_3D,0.0016840151163561635
SY6_3D,0.0016840151163561412
C_rel_XZ_3D,0.001445335808526149
MMZ_3D,0.001432075846980041
SY_3D,0.0014055559238878024
Cl,0.0012994762315189146
SZ_3D,0.0010607969236889226
Br_relative,0.00023867930782999202
Br,3.97798846383246e-05
CBUC,0.0
