feature,importance
S_relative,0.09457576332303895
S,0.07835474609203232
Volume_1,0.07395911750518025
N_relative,0.062013648937115785
C_relative,0.03578782920992679
F,0.033321640342848145
Volume_2,0.03240559172936023
F_relative,0.030273456578961678
Solubility_at_pH_7_4,0.029767722359054265
N,0.027749024926795516
O_relative,0.02399037679532763
RBC,0.02312961117114766
XY_3D_volume,0.022969516736931206
XL,0.022376106428693143
TPSA,0.021897153376587018
YZ_3D_volume,0.017683035541559852
Cl_relative,0.016288723168880925
O,0.016060978900427608
H_relative,0.015752824533447733
MMY6,0.01502903567932971
